listing_id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,min_nights,total_reviews,avg_rating,price
179,Foggy Bottom,1/1/2015,T,1,1,Entire home/apt,2,1 bath,1,1,31,26,4.88,67
181,Capitol Hill,12/16/2014,T,1,3,Entire home/apt,4,1 bath,1,2,31,32,4.94,240
182,Foggy Bottom,4/20/2014,F,,1,Entire home/apt,1,1 bath,1,2,180,43,4.71,120
184,Capitol Hill,12/16/2014,T,1,3,Entire home/apt,6,1 bath,2,3,31,37,4.92,295
185,Union Station,1/11/2015,T,1,2,Entire home/apt,5,2 baths,2,2,2,66,4.89,261
186,Union Station,1/11/2015,T,1,2,Entire home/apt,3,1 bath,1,1,2,93,4.88,164
188,Georgetown,10/21/2014,T,1,9,Entire home/apt,2,1 bath,1,1,31,459,4.85,200
190,Dupont Circle,1/27/2012,T,1,7,Entire home/apt,2,1.5 baths,1,1,31,123,4.85,195
192,Union Station,10/7/2014,T,1,3,Entire home/apt,2,1 bath,,1,2,533,4.86,91
194,Georgetown,10/21/2014,T,1,9,Entire home/apt,2,1 bath,2,1,1,420,4.88,192
196,Shaw,11/27/2013,T,1,2,Entire home/apt,2,1 bath,1,1,2,38,4.94,175
197,Georgetown,2/10/2015,F,0.98,2,Entire home/apt,4,1 bath,1,2,2,194,4.87,148
198,Georgetown,2/16/2015,F,0,2,Entire home/apt,3,1 bath,1,2,31,53,4.47,125
199,Shaw,12/29/2014,T,0.98,1,Entire home/apt,4,1 bath,,2,3,247,4.85,123
200,Foggy Bottom,3/5/2015,T,0.73,6,Entire home/apt,3,1 bath,,2,31,377,4.94,90
203,Union Station,3/14/2015,F,,3,Entire home/apt,2,1 bath,1,2,31,35,4.97,175
204,Shaw,11/20/2013,T,1,3,Entire home/apt,4,1 bath,1,1,2,618,4.92,155
206,Capitol Hill,3/27/2015,F,1,3,Entire home/apt,4,1 bath,2,2,31,236,4.85,150
208,Union Station,9/23/2013,T,0.99,4,Entire home/apt,6,2.5 baths,3,3,2,89,4.96,531
210,Union Station,6/24/2014,T,1,3,Entire home/apt,4,1 bath,1,3,1,262,4.85,180
211,Georgetown,4/5/2015,T,1,1,Entire home/apt,2,1 bath,1,1,2,114,4.98,196
215,Capitol Hill,4/19/2015,F,0.33,1,Entire home/apt,14,4.5 baths,4,6,7,13,4.92,395
221,Capitol Hill,7/28/2013,F,0.5,1,Entire home/apt,2,1.5 baths,1,1,31,134,5,115
223,Capitol Hill,10/22/2013,T,0.96,1,Entire home/apt,6,2.5 baths,3,3,3,95,4.93,364
226,Shaw,11/27/2013,T,1,2,Entire home/apt,6,3.5 baths,3,3,3,26,5,611
228,Georgetown,5/14/2012,T,0.99,3,Entire home/apt,3,1 bath,1,2,2,187,4.87,80
229,Capitol Hill,5/22/2015,T,0.86,3,Entire home/apt,10,3.5 baths,3,4,2,49,4.92,340
230,Capitol Hill,5/18/2009,F,0.99,164,Entire home/apt,2,1 bath,1,2,1,40,4.9,10
231,Shaw,1/13/2013,F,,1,Entire home/apt,3,1 bath,1,1,31,1,5,130
232,Georgetown,1/13/2015,F,0,1,Entire home/apt,2,1 bath,,1,31,1,4,125
233,Capitol Hill,9/25/2014,F,,1,Entire home/apt,1,1 bath,1,1,31,1,4,500
234,Union Station,11/21/2014,F,0.93,2,Entire home/apt,6,2.5 baths,3,4,2,160,4.83,256
235,Capitol Hill,6/14/2015,T,1,2,Entire home/apt,3,1 bath,,1,3,366,4.87,142
236,Capitol Hill,6/14/2015,F,0.93,1,Entire home/apt,2,1 bath,1,1,1,151,4.64,157
237,Shaw,1/1/2015,T,0.97,3,Entire home/apt,8,4.5 baths,5,5,1,453,4.89,518
238,Shaw,1/1/2015,T,0.97,3,Entire home/apt,8,1 bath,2,2,1,635,4.84,199
243,Capitol Hill,3/27/2015,F,1,3,Entire home/apt,5,1 bath,,3,31,64,4.72,56
244,Capitol Hill,9/17/2014,F,1,3,Entire home/apt,6,1 bath,1,3,2,462,4.5,191
245,Capitol Hill,7/6/2015,F,,1,Entire home/apt,4,1 bath,2,2,31,95,4.53,159
247,Union Station,3/31/2014,T,0.99,9,Entire home/apt,4,1 bath,1,1,2,233,4.76,179
250,Dupont Circle,6/5/2013,F,0.8,1,Entire home/apt,3,1 bath,1,1,31,71,4.96,200
251,Dupont Circle,3/5/2015,T,0.73,6,Entire home/apt,6,1 bath,2,5,31,381,4.93,130
252,Dupont Circle,2/19/2015,F,1,16,Entire home/apt,3,1 bath,,2,91,39,4.53,64
253,Dupont Circle,2/19/2015,F,1,16,Entire home/apt,4,1 bath,1,1,91,21,4.86,87
